id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,label__c,
a956C0000008RIEQA2,false,QO,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Quick Order,
a956C0000008RIFQA2,false,SL,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Spotlight,
a956C0000008RIGQA2,false,rfq,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Request For Quote,
a956C0000008RIHQA2,false,pgbl,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Paginator,
a956C0000008RIIQA2,false,reg,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Registration,
a956C0000008RIJQA2,false,MO,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,My Orders,
a956C0000008RIKQA2,false,MA,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,My Account,
a956C0000008RILQA2,false,Cpn,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Coupon,
a956C0000008RIMQA2,false,inv,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Invoices,
a956C0000008RINQA2,false,PRG,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Price Group,
a956C0000008RIOQA2,false,CWL,USD,00D6C0000000cYAUAY,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,0056C000000O3jNQAS,2016-12-26 16:47:06,,,Custom Widget Left Nav,
