id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,desc__c,enabled__c,label__c,value__c,
aA9G0000000KyzdKAC,false,IRStore.HP.CS.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,TRUE,
aA9G0000000KyzeKAC,false,IRStore.MA.UP.ShowCF2,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,TRUE,
aA9G0000000KyzfKAC,false,IRStore.MA.UP.ShowCF1,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,TRUE,
aA9G0000000KyzgKAC,false,IRStore.PDP.PS.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,FALSE,
aA9G0000000KyzhKAC,false,IRStore.RG.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,cc_tmpl_OneColRD,
aA9G0000000KyziKAC,false,IRStore.HP.MC.UsePI,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,FALSE,
aA9G0000000KyzjKAC,false,IRStore.HP.H.TagLine,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,false,,images/home/tagline.gif,
aA9G0000000KyzkKAC,false,IRStore.HP.CT.UsePI,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,FALSE,
aA9G0000000KyzlKAC,false,IRStore.HP.QO.DsplAddMore,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,,
aA9G0000000KyzmKAC,false,IRStore.HP.BC.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,TRUE,
aA9G0000000Kz1GKAS,false,wireframe.CA.tmpl,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,cc_tmpl_Cart,
aA9G0000000Kz1HKAS,false,Global.All.PD.DsplAddWish,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,TRUE,
aA9G0000000Kz1IKAS,false,Global.PW.Login.DsplReg,USD,00DG0000000hBllMAE,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,005G0000008TGkfIAG,2016-06-23 00:41:00,,,,true,,TRUE,
aA9G0000000Kz2xKAC,false,Wireframe.HP.H.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,,true,,TRUE,
aA9G0000000Kz4jKAC,false,Global.All.rfq.fNameRqrd,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,TRUE/FALSE: required flag for field First Name,true,,TRUE,
aA9G0000000Kz4kKAC,false,Global.All.rfq.lNameRqrd,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,TRUE/FALSE: required flag for field Last Name,true,,TRUE,
aA9G0000000Kz4lKAC,false,Global.All.rfq.emailRqrd,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,TRUE/FALSE: required flag for field Email,true,,TRUE,
aA9G0000000Kz4mKAC,false,Global.All.rfq.cmpnyRqrd,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,TRUE/FALSE: required flag for field Company Name,true,,TRUE,
aA9G0000000Kz4nKAC,false,Global.All.rfq.phnRqrd,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,TRUE/FALSE: required flag for field Phone,true,,TRUE,
aA9G0000000Kz4oKAC,false,Global.All.rfq.emailVldt,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,TRUE/FALSE: phone validation flag,true,,TRUE,
aA9G0000000Kz4pKAC,false,Global.All.rfq.descMaxLen,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,Integer: max length of description field,true,,32000,
aA9G0000000Kz4qKAC,false,Global.All.pgbl.addr,USD,00DG0000000hBllMAE,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,005G0000008TGkfIAG,2016-06-23 00:41:02,,,TRUE/FALSE: Show/Hide addressbook paginator.,true,,FALSE,
aA9G0000000Kz5sKAC,false,Global.All.BdIE.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,HTML Body Include End Enablement flag,true,,FALSE,
aA9G0000000Kz5tKAC,false,Global.All.WL.pgbl,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Enable the pagination on wishlist detail view,true,,FALSE,
aA9G0000000Kz5uKAC,false,Global.MA.addr.srtBy,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,"Sorting Criteria of My Account - My Address Book(possible values are : sfdcName, city, contactAddrType, country, countryCode, firstName, lastName, companyName, postalCode, stateCode, state, partnerId)",true,,sfdcName,
aA9G0000000Kz5vKAC,false,Global.MA.addr.srtAsc,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Is sorting in ascending order?,true,,FALSE,
aA9G0000000Kz5wKAC,false,Global.CA.C.EmailAnon,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,TRUE/FALSE: Allow anonymous users to email their cart,true,,FALSE,
aA9G0000000Kz5xKAC,false,Global.All.f.page,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,"Set value to the visual force page footer you wish to use, default cc_Footer",true,,cc_Footer,
aA9G0000000Kz5yKAC,false,Global.MA.CT.Enabled,USD,00DG0000000hBllMAE,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:04,005G0000008TGkfIAG,2016-06-23 00:41:05,,,"Allows the Category Tree to be displayed on the My Account Page, FALSE by default",true,,FALSE,
