id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,code__c,countrycode__c,state__c,
aABG0000000KykIOAS,false,US_MO,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,MO,US,Missouri,
aABG0000000KykJOAS,false,US_MT,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,MT,US,Montana,
aABG0000000KykKOAS,false,US_NE,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,NE,US,Nebraska,
aABG0000000KykLOAS,false,US_DC,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,DC,US,District of Columbia,
aABG0000000KykMOAS,false,US_NV,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,NV,US,Nevada,
aABG0000000KykNOAS,false,US_NH,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,NH,US,New Hampshire,
aABG0000000KykOOAS,false,US_NJ,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,NJ,US,New Jersey,
aABG0000000KykPOAS,false,US_NM,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,NM,US,New Mexico,
aABG0000000KykQOAS,false,US_NY,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,NY,US,New York,
aABG0000000KykROAS,false,US_NC,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,NC,US,North Carolina,
aABG0000000KykSOAS,false,US_ND,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,ND,US,North Dakota,
aABG0000000KykTOAS,false,US_OH,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,OH,US,Ohio,
aABG0000000KykUOAS,false,US_OK,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,OK,US,Oklahoma,
aABG0000000KykVOAS,false,US_OR,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,OR,US,Oregon,
aABG0000000KykWOAS,false,US_PA,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,PA,US,Pennsylvania,
aABG0000000KykXOAS,false,US_RI,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,RI,US,Rhode Island,
aABG0000000KykYOAS,false,US_SC,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,SC,US,South Carolina,
aABG0000000KykZOAS,false,US_SD,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,SD,US,South Dakota,
aABG0000000KykaOAC,false,US_TN,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,TN,US,Tennessee,
aABG0000000KykbOAC,false,US_TX,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,TX,US,Texas,
aABG0000000KykcOAC,false,US_UT,USD,00DG0000000hBllMAE,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,005G0000007ZLpxIAG,2016-06-16 00:38:18,,,UT,US,Utah,
