id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,classname__c,displayname__c,keyname__c,rtype__c,storefront__c,
a9Y3B000000CcCbUAK,false,DefaultStore:adjustApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_api_PriceAdjustment,,,,,
a9Y3B000000CcCcUAK,false,DefaultStore:adjustDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcE4UAK,false,IRStore:TaxCalculationApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,,,c.cc_jci_ctrl_TaxCalculation,,,,,
a9Y3B000000CcE5UAK,false,IRStore:UsrItfApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,,,cc_hk_UserInterface:v001,,,,,
a9Y3B000000CcE6UAK,false,IRStore:UsrItfDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,,,,,,,,
a9Y3B000000CcE7UAK,false,IRStore:UsrItfService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,,,,,,,,
a9Y3B000000CcBDUA0,false,ccLogicOrderGetOrdersToSplit:LOGSPL,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicOrderGetOrdersToSplit,,LOGSPL,lreg,,
a9Y3B000000CcBEUA0,false,ccLogicOrderHistory:LOH,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicOrderHistory,,LOH,lreg,,
a9Y3B000000CcBFUA0,false,ccLogicOrderReOrder:LORE,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicOrderReOrder,,LORE,lreg,,
a9Y3B000000CcBGUA0,false,ccLogicOrderSplitOrder:LOSPL,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicOrderSplitOrder,,LOSPL,lreg,,
